Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
XF AWD,Jaguar,2017,ICE,6.0,3.0,Automatic (S8),37491,4375.0,23.0,0.0,0.0,27.8704,0.0,0.0,0.0,19.6583,24.8,39.6
Forte,Kia,2017,ICE,4.0,2.0,Automatic (S6),37492,3232.142857142857,28.0,0.0,0.0,33.4309,0.0,0.0,0.0,24.9761,32.2722,48.4443
XTS,Cadillac,2017,ICE,6.0,3.6,Automatic (S6),37493,4906.25,22.0,0.0,0.0,27.7748,0.0,0.0,0.0,18.1794,22.7844,39.451
Impala,Chevrolet,2017,ICE,4.0,2.5,Automatic (S6),37494,4041.6666666666665,25.0,0.0,0.0,29.689,0.0,0.0,0.0,21.6667,27.5802,41.8002
Impala,Chevrolet,2017,ICE,6.0,3.6,Automatic (S6),37495,4041.6666666666665,22.0,0.0,0.0,28.0175,0.0,0.0,0.0,18.4035,23.0882,39.8295
Equinox FWD,Chevrolet,2017,ICE,4.0,2.4,Automatic 6-spd,37499,4250.0,25.0,0.0,0.0,31.3852,0.0,0.0,0.0,21.0,28.3968,45.1499
Equinox FWD,Chevrolet,2017,ICE,6.0,3.6,Automatic 6-spd,37500,4250.0,20.0,0.0,0.0,24.0,0.0,0.0,0.0,16.6294,20.7,34.9
Equinox AWD,Chevrolet,2017,ICE,6.0,3.6,Automatic 6-spd,37505,4250.0,18.0,0.0,0.0,22.5804,0.0,0.0,0.0,15.6519,19.4,31.5
Enclave FWD,Buick,2017,ICE,6.0,3.6,Automatic 6-spd,37508,5500.0,18.0,0.0,0.0,22.114,0.0,0.0,0.0,14.9703,18.5,30.8
Expedition 2WD,Ford,2017,ICE,6.0,3.5,Automatic (S6),37510,6400.0,18.0,0.0,0.0,21.2439,0.0,0.0,0.0,15.3495,19.0,29.5
Expedition EL 2WD,Ford,2017,ICE,6.0,3.5,Automatic (S6),37511,6400.0,17.0,0.0,0.0,19.9497,0.0,0.0,0.0,14.5746,17.9801,27.5807
