level_0,Model,Make,Year,AdjWeight,match_index,baseModel,displ,cylinders,trany,comb08,combinedUF,combE,highway08,city08,UCity,UHighway,atvType,rangeHwyA,RangeHwy,Range,MFRCode,VehicleID
129.0,Sunfire,Pontiac,2000,3312.5,1861.0,sunfire,2.2,4.0,Automatic 4-spd,23,0.0,0.0,29,20,25.7476,40.0,ICE,0.0,0.0,0,,129
130.0,Sunfire,Pontiac,2000,3312.5,1861.0,sunfire,2.2,4.0,Manual 5-spd,24,0.0,0.0,31,21,26.5,43.4,ICE,0.0,0.0,0,,130
131.0,Sunfire,Pontiac,2000,3312.5,1861.0,sunfire,2.4,4.0,Automatic 4-spd,23,0.0,0.0,28,19,24.5,39.1,ICE,0.0,0.0,0,,131
132.0,Sunfire,Pontiac,2000,3312.5,1861.0,sunfire,2.4,4.0,Manual 5-spd,24,0.0,0.0,30,20,25.1,42.5,ICE,0.0,0.0,0,,132
133.0,Corniche,Rolls-Royce,2000,6500.0,1961.0,corniche/continental,6.7,8.0,Automatic 4-spd,12,0.0,0.0,15,10,12.6,20.4,ICE,0.0,0.0,0,,133
134.0,Arnage,Bentley,2000,6500.0,1961.0,arnage,4.4,8.0,Automatic 5-spd,12,0.0,0.0,15,11,12.9483,20.0499,ICE,0.0,0.0,0,,134
135.0,Arnage,Bentley,2000,6500.0,1961.0,arnage,6.7,8.0,Automatic 4-spd,12,0.0,0.0,15,10,12.3823,20.0411,ICE,0.0,0.0,0,,135
136.0,Impreza AWD,Subaru,2000,3187.5,1786.0,impreza/outback sport,2.5,4.0,Automatic 4-spd,22,0.0,0.0,26,20,25.2,36.2,ICE,0.0,0.0,0,,136
137.0,Impreza AWD,Subaru,2000,3187.5,1786.0,impreza/outback sport,2.5,4.0,Manual 5-spd,21,0.0,0.0,25,18,23.1,35.5,ICE,0.0,0.0,0,,137
138.0,Esteem,Suzuki,2000,2625.0,1966.0,esteem,1.6,4.0,Automatic 4-spd,26,0.0,0.0,31,24,30.2,43.4,ICE,0.0,0.0,0,,138
